Account Number,First Name,Last Name,Email,Phone,Balance,Credit,Credit Score
112233445566,Bob,Smith,BobSmith@gmail.com,240-888-1000,"$1,000.00",Yes,
112345678990,Michael,Chang,Mchang@gmail.com,213-401-7900,"$50,679.00",Yes,
112233456789,Josh,Lee,Jlee@yahoo.com,310-323-8262,"$52,519.00",Yes,
221133345673,Ethan ,Cade,Ecade@gmail.com,301-826-3200,"$44,710.00",Yes,
112345670056,Jessica,Kim,Jkim@yahoo.com,410-913-5540,"$15,447.00",Yes,
533300773883,Kim,Lu,KimLu@yahoo.com,240-800-1990,"$99,589.00",Yes,
240301750501,Matthew ,Lux,Mattlux@gmail.com,415-012-2000,"$160,470.00",Yes,
310323424626,Anjali,Singh,AnjSingh@gmail.com,323-158-2016,"$65,360.00",Yes,
747818310323,Ashley,Gray,Ashgray@yahoo.com,240-310-1880,"$45,930.00",Yes,
213250301818,Jessie ,Mason,Jmason@gmail.com,301-410-2010,"$10,820.00",Yes,
240661747301,Bill,Jack,Billjack@yahoo.com,240-810-2050,"$20,526.00",Yes,
505415505112,Jack,Park,Jpark@gmail.com,949-300-2550,"$250,126.00",Yes,
202303240510,Christian ,Teemo,Cteemo@yahoo.com,240-949-3500,"$35,960.00",Yes,
